age,country,population
0,SLE,243846
1,SLE,239000
2,SLE,237430
3,SLE,232842
4,SLE,228653
5,SLE,224807
6,SLE,221255
7,SLE,217906
8,SLE,214675
9,SLE,211688
10,SLE,208969
11,SLE,206354
12,SLE,203731
13,SLE,201206
14,SLE,197939
15,SLE,193526
16,SLE,188351
17,SLE,183236
18,SLE,178056
19,SLE,172902
20,SLE,167914
21,SLE,163052
22,SLE,158118
23,SLE,153122
24,SLE,148417
25,SLE,144151
26,SLE,140185
27,SLE,136240
28,SLE,132376
29,SLE,128494
30,SLE,124518
31,SLE,120504
32,SLE,116575
33,SLE,112693
34,SLE,108900
35,SLE,105223
36,SLE,101627
37,SLE,98076
38,SLE,94605
39,SLE,91047
40,SLE,87323
41,SLE,83527
42,SLE,79819
43,SLE,76157
44,SLE,72705
45,SLE,69559
46,SLE,66639
47,SLE,63769
48,SLE,60981
49,SLE,58253
50,SLE,55553
51,SLE,52900
52,SLE,50340
53,SLE,47860
54,SLE,45469
55,SLE,43174
56,SLE,40962
57,SLE,38819
58,SLE,36753
59,SLE,34718
60,SLE,32695
61,SLE,30703
62,SLE,28785
63,SLE,26930
64,SLE,25166
65,SLE,23511
66,SLE,21949
67,SLE,20440
68,SLE,18986
69,SLE,17611
70,SLE,16326
71,SLE,15112
72,SLE,13952
73,SLE,12857
74,SLE,11761
75,SLE,10632
76,SLE,9500
77,SLE,8432
78,SLE,7419
79,SLE,6466
80,SLE,5585
81,SLE,4773
82,SLE,4013
83,SLE,3302
84,SLE,2683
85,SLE,2179
86,SLE,1766
87,SLE,1389
88,SLE,1075
89,SLE,831
90,SLE,627
91,SLE,456
92,SLE,314
93,SLE,233
94,SLE,186
95,SLE,132
96,SLE,74
97,SLE,42
98,SLE,29
99,SLE,14
100,SLE,17
0,PNG,233083
1,PNG,229207
2,PNG,226967
3,PNG,223525
4,PNG,220391
5,PNG,217533
6,PNG,214916
7,PNG,212482
8,PNG,210177
9,PNG,208071
10,PNG,206172
11,PNG,204383
12,PNG,202608
13,PNG,200878
14,PNG,198826
15,PNG,196260
16,PNG,193325
17,PNG,190331
18,PNG,187182
19,PNG,184012
20,PNG,180905
21,PNG,177762
22,PNG,174505
23,PNG,171285
24,PNG,167419
25,PNG,162602
26,PNG,157223
27,PNG,151963
28,PNG,146664
29,PNG,141943
30,PNG,138170
31,PNG,135071
32,PNG,131925
33,PNG,128783
34,PNG,126065
35,PNG,123882
36,PNG,122030
37,PNG,120217
38,PNG,118523
39,PNG,116447
40,PNG,113718
41,PNG,110545
42,PNG,107438
43,PNG,104319
44,PNG,101097
45,PNG,97785
46,PNG,94408
47,PNG,90992
48,PNG,87544
49,PNG,84135
50,PNG,80812
51,PNG,77560
52,PNG,74317
53,PNG,71082
54,PNG,67973
55,PNG,65039
56,PNG,62232
57,PNG,59453
58,PNG,56720
59,PNG,54011
60,PNG,51303
61,PNG,48607
62,PNG,45953
63,PNG,43329
64,PNG,40728
65,PNG,38148
66,PNG,35585
67,PNG,33077
68,PNG,30658
69,PNG,28128
70,PNG,25403
71,PNG,22598
72,PNG,19906
73,PNG,17273
74,PNG,14940
75,PNG,13039
76,PNG,11462
77,PNG,9960
78,PNG,8572
79,PNG,7324
80,PNG,6197
81,PNG,5190
82,PNG,4308
83,PNG,3541
84,PNG,2874
85,PNG,2298
86,PNG,1807
87,PNG,1387
88,PNG,1053
89,PNG,794
90,PNG,583
91,PNG,413
92,PNG,275
93,PNG,204
94,PNG,160
95,PNG,108
96,PNG,51
97,PNG,21
98,PNG,14
99,PNG,5
100,PNG,3
