vaccine_type,dose,strain,week,VE,VE_lower,VE_upper,booster
AstraZeneca,2,delta,3,82.8,74.5,88.4,
AstraZeneca,2,delta,7,76.5,70.3,81.5,
AstraZeneca,2,delta,12,69.2,64.7,73.1,
AstraZeneca,2,delta,17,53.6,51.6,55.5,
AstraZeneca,2,delta,22,47.4,46.2,48.5,
AstraZeneca,2,delta,26.5,43.5,42.4,44.5,
AstraZeneca,3,delta,3,95.4,95.1,95.6,Pfizer
AstraZeneca,3,delta,7,82.6,92.2,92.9,Pfizer
AstraZeneca,3,delta,12,88.1,86.7,89.3,Pfizer
AstraZeneca,3,delta,3,97,96.7,97.3,Moderna
AstraZeneca,3,delta,7,94.9,93.8,95.9,Moderna
AstraZeneca,3,delta,12,,,,Moderna
AstraZeneca,2,omicron,3,48.9,39.2,57.1,
AstraZeneca,2,omicron,7,33.7,25,41.5,
AstraZeneca,2,omicron,12,28.6,20.9,35.6,
AstraZeneca,2,omicron,17,17.8,13.4,21.9,
AstraZeneca,2,omicron,22,4,1.9,6.1,
AstraZeneca,2,omicron,26.5,-2.7,-4.2,-1.2,
AstraZeneca,3,omicron,3,62.4,61.8,63,Pfizer
AstraZeneca,3,omicron,7,52.9,52.1,53.7,Pfizer
AstraZeneca,3,omicron,12,39.6,38,41.1,Pfizer
AstraZeneca,3,omicron,3,70.1,69.5,70.7,Moderna
AstraZeneca,3,omicron,7,60.9,59.7,62.1,Moderna
AstraZeneca,3,omicron,12,,,,Moderna
Pfizer,2,delta,3,90.9,89.6,92,
Pfizer,2,delta,7,85.5,84.5,86.5,
Pfizer,2,delta,12,78.7,78,79.4,
Pfizer,2,delta,17,74.4,73.8,74.9,
Pfizer,2,delta,22,67.4,66.5,68.2,
Pfizer,2,delta,26.5,62.7,61.6,63.7,
Pfizer,3,delta,3,95.1,94.8,95.4,Pfizer
Pfizer,3,delta,7,91.8,91.4,92.1,Pfizer
Pfizer,3,delta,12,89.9,89.2,90.5,Pfizer
Pfizer,3,delta,3,96.6,96,97.1,Moderna
Pfizer,3,delta,7,94.9,93,96.2,Moderna
Pfizer,3,delta,12,,,,Moderna
Pfizer,2,omicron,3,65.5,96.9,67,
Pfizer,2,omicron,7,48.7,47.1,50.2,
Pfizer,2,omicron,12,30.1,28.7,31.5,
Pfizer,2,omicron,17,15.4,14.2,16.6,
Pfizer,2,omicron,22,11.5,10.1,12.9,
Pfizer,2,omicron,26.5,8.8,7,10.5,
Pfizer,3,omicron,3,67.2,66.5,67.8,Pfizer
Pfizer,3,omicron,7,55,54.2,55.8,Pfizer
Pfizer,3,omicron,12,45.7,44.7,46.7,Pfizer
Pfizer,3,omicron,3,73.9,73.1,74.6,Moderna
Pfizer,3,omicron,7,64.4,62.6,66.1,Moderna
Pfizer,3,omicron,12,,,,Moderna
Moderna,2,delta,3,94.5,90.5,96.9,
Moderna,2,delta,7,91.8,89.6,93.6,
Moderna,2,delta,12,84.1,82.7,86.3,
Moderna,2,delta,17,82.8,81.8,83.7,
Moderna,2,delta,22,76.2,74.7,77.7,
Moderna,2,delta,26.5,80.4,67.3,88.2,
Moderna,3,delta,3,84.7,89.3,97.3,Pfizer
Moderna,3,delta,7,,,,Pfizer
Moderna,3,delta,12,,,,Pfizer
Moderna,3,delta,3,96.4,91.4,98.5,Moderna
Moderna,3,delta,7,,,,Moderna
Moderna,3,delta,12,,,,Moderna
Moderna,2,omicron,3,75.1,70.8,78.7,
Moderna,2,omicron,7,52.8,48.2,57.1,
Moderna,2,omicron,12,35.6,32.7,38.4,
Moderna,2,omicron,17,25.3,23.2,27.4,
Moderna,2,omicron,22,15,11.6,18.2,
Moderna,2,omicron,26.5,14.9,3.9,24.7,
Moderna,3,omicron,3,64.9,62.3,67.3,Pfizer
Moderna,3,omicron,7,,,,Pfizer
Moderna,3,omicron,12,,,,Pfizer
Moderna,3,omicron,3,66.3,63.7,68.8,Moderna
Moderna,3,omicron,7,,,,Moderna
Moderna,3,omicron,12,,,,Moderna
