strain,vaccine_type,primary_if_booster,dose,outcome,actual measure,VE,lower_est,upper_est,reference,study published,study location,cohort,study type,week_start,week_end,maximum duration of follow-up,notes
delta,AstraZeneca,,1,any_infection,documented infection,46,35,55,"Pouwels et al., 2021",14/10/2021,UK,"358,983 individuals",prospective cohort,2,28,28 weeks,"largest avaliable study in general pop, aligns well with Indian general pop and Thailand general pop est"
delta,AstraZeneca,,2,any_infection,documented infection,67,62,71,"Pouwels et al., 2021",14/10/2021,UK,"358,983 individuals",prospective cohort,2,28,28 weeks,"largest avaliable study in general pop, aligns well with Indian general pop and Thailand general pop est"
delta,AstraZeneca,,1,death,death,86.9,77.2,92.4,"Andrews et al., 2022",12/01/2022,England,,,2,8,,largest avaliable study
delta,AstraZeneca,,2,death,death,94.1,91.8,95.8,"Andrews et al., 2022",,,,,2,8,,14-63 days post vaccination
delta,AstraZeneca,,1,severe_disease,hospitalisation,80.7,78,83,"Andrews et al., 2022",,,,,2,8,,largest avaliable study
delta,AstraZeneca,,2,severe_disease,hospitalisation,95.2,94.6,95.6,"Andrews et al., 2022",,,,,2,8,,14-63 days post vaccination
delta,AstraZeneca,,1,symptomatic_disease,symptomatic disease,45.1,43.4,46.7,"Andrews et al., 2022",,,,,2,8,,largest avaliable study
delta,AstraZeneca,,2,symptomatic_disease,symptomatic disease,66.7,66.3,67,"Andrews et al., 2022",,,,,2,8,,14-63 days post vaccination
delta,Johnson & Johnson,,1,any_infection,documented infection,78,73,82,"Polinski et al., 2021",,,,,2,14,,"one of two studies in the general pop, US, retrospective cohort (preferenced over one other study with a test-negative design)"
delta,Johnson & Johnson,,1,death,death,82,74,89,Bekker et al. 2021,,,,,4,16,,"HCW, only avaliable study"
delta,Johnson & Johnson,,1,severe_disease,hospitalisation,85,73,91,"Polinski et al., 2021",,,,,2,14,,"one of two studies in the general pop, US, retrospective cohort (preferenced over one other study with a test-negative design)"
delta,Johnson & Johnson,,1,symptomatic_disease,,,,,none currently avaliable,,,,,,,,
delta,Johnson & Johnson,Johnson & Johnson,2,any_infection,,86.3,63.5,94.9,"Voko et al., 2022",18/04/2022,Hungary,"6,193,552 aged 18-64",,2,17,20 weeks,4 cases
delta,Johnson & Johnson,,2,symptomatic_disease,,,,,none currently avaliable,,,,,,,,
delta,Johnson & Johnson,Sinopharm,3,severe_disease,hospitalisation,95.3,88.7,98,"Voko et al., 2022",20/04/2022,Hungary,"6,193,552 aged 18-66",,2,17,20 weeks,5 cases
delta,Johnson & Johnson,Sinopharm,3,any_infection,,78.1,84.7,81,"Voko et al., 2022",21/04/2022,Hungary,"6,193,552 aged 18-67",,2,17,20 weeks,187 cases
delta,Johnson & Johnson,Sinopharm,3,death,,95.8,70,99.4,"Voko et al., 2022",22/04/2022,Hungary,"6,193,552 aged 18-68",,2,17,20 weeks,1 case only
delta,Moderna,,1,any_infection,documented infection,77,60.7,86.5,"Bruxvoort et al., 2021",,,,,2,6.5,,"best aligns with other estimates in forest plot, general US population"
delta,Moderna,,2,any_infection,documented infection,88,86.8,89.1,"Florea et al., 2021",,,,,2,13,,"US general population, prospective cohort, aligns well with other VE in forest plot"
delta,Moderna,,1,death,,,,,none currently avaliable,,,,,,,,
delta,Moderna,,2,death,,,,,none currently avaliable,,,,,,,,
delta,Moderna,,1,severe_disease,hospitalisation,81,76,85,"Nasreen et al., 2022",,,,,1,8,,"Canadian general population, aligns well with all other studies, larger so smaller CI, provides first AND second dose estimates"
delta,Moderna,,2,severe_disease,hospitalisation,98,93,100,"Nasreen et al., 2022",,,,,1,8,,
delta,Moderna,,1,symptomatic_disease,symptomatic disease,64.9,64,65.7,"Andrews et al., 2022",,,,,2,8,,aligns with Nasreen et al. estimates (first dose)
delta,Moderna,,2,symptomatic_disease,symptomatic disease,93.8,93.4,94.1,"Andrews et al., 2022",,,,,2,8,,"aligns with all other second dose estimates, biggest cohort"
delta,Pfizer,,1,any_infection,documented infection,57,50,63,"Pouwels et al., 2021",14/10/2021,UK,"358,983 individuals",prospective cohort,,,28 weeks,"largest avaliable in the general pop, aligns well with other studies (specific age groups or index cases)"
delta,Pfizer,,2,any_infection,documented infection,80,77,83,"Pouwels et al., 2021",14/10/2021,UK,"358,983 individuals",prospective cohort,,,28 weeks,
delta,Pfizer,,1,death,death,88.6,78.8,93.9,"Andrews et al., 2022",,,,,,,,largest avaliable study
delta,Pfizer,,2,death,death,98.2,95.9,99.2,"Andrews et al., 2022",,,,,,,,14-63 days post vaccination
delta,Pfizer,,1,severe_disease,hospitalisation,91.1,89.7,92.3,"Andrews et al., 2022",,,,,,,,largest avaliable in general pop
delta,Pfizer,,2,severe_disease,hospitalisation,98.4,97.9,98.8,"Andrews et al., 2022",,,,,,,,aligns with other included studies
