dose,age_group,time_text,days,VE,LB,UB,source
2,overall,14 to 30 days,22,0.55,0.543,0.557,doi.org/10.1038/s41591-022-01701-w
2,overall,31 to 60 days,45.5,0.517,0.511,0.524,doi.org/10.1038/s41591-022-01701-w
2,overall,61 to 90 days,75.5,0.476,0.468,0.483,doi.org/10.1038/s41591-022-01701-w
2,overall,91 to 120 days,105.5,0.461,0.453,0.469,doi.org/10.1038/s41591-022-01701-w
2,overall,121 to 150 days,135.5,0.418,0.408,0.428,doi.org/10.1038/s41591-022-01701-w
2,overall,151 to 180 days,165.5,0.38,0.367,0.393,doi.org/10.1038/s41591-022-01701-w
2,overall,180+ days,195.5,0.347,0.331,0.363,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,14 to 30 days,22,0.435,0.424,0.447,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,31 to 60 days,45.5,0.565,0.556,0.575,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,61 to 90 days,75.5,0.529,0.521,0.538,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,91 to 120 days,105.5,0.489,0.479,0.499,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,121 to 150 days,135.5,0.523,0.513,0.532,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,151 to 180 days,165.5,0.44,0.423,0.456,doi.org/10.1038/s41591-022-01701-w
2,18 to 59,180+ days,195.5,0.341,0.322,0.359,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,14 to 30 days,22,0.551,0.537,0.565,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,31 to 60 days,45.5,0.511,0.497,0.524,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,61 to 90 days,75.5,0.453,0.436,0.469,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,91 to 120 days,105.5,0.398,0.378,0.418,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,121 to 150 days,135.5,0.363,0.338,0.387,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,151 to 180 days,165.5,0.353,0.322,0.382,doi.org/10.1038/s41591-022-01701-w
2,60 to 79,180+ days,195.5,0.345,0.299,0.387,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,14 to 30 days,22,0.503,0.468,0.536,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,31 to 60 days,45.5,0.47,0.437,0.501,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,61 to 90 days,75.5,0.41,0.373,0.444,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,91 to 120 days,105.5,0.319,0.273,0.361,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,121 to 150 days,135.5,0.221,0.165,0.273,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,151 to 180 days,165.5,0.151,0.083,0.215,doi.org/10.1038/s41591-022-01701-w
2,80 to 110,180+ days,195.5,0.101,0.001,0.183,doi.org/10.1038/s41591-022-01701-w
3,overall,14 to 30,22,0.636,0.628,0.643,doi.org/10.1038/s41467-022-31839-7
3,overall,31 to 60 days,45.5,0.485,0.478,0.493,doi.org/10.1038/s41467-022-31839-7
3,overall,61 to 90 days,75.5,0.325,0.317,0.333,doi.org/10.1038/s41467-022-31839-7
3,overall,91 to 120 days,105.5,0.206,0.197,0.215,doi.org/10.1038/s41467-022-31839-7
3,overall,120+,165.5,,,,doi.org/10.1038/s41467-022-31839-7
3,18 to 59,14 to 30,22,0.623,0.615,0.631,doi.org/10.1038/s41467-022-31839-7
3,18 to 59,31 to 60 days,45.5,0.445,0.435,0.454,doi.org/10.1038/s41467-022-31839-7
3,18 to 59,61 to 90 days,75.5,0.303,0.293,0.314,doi.org/10.1038/s41467-022-31839-7
3,18 to 59,91 to 120 days,105.5,0.195,0.184,0.206,doi.org/10.1038/s41467-022-31839-7
3,18 to 59,120+,165.5,,,,doi.org/10.1038/s41467-022-31839-7
3,60 to 79,14 to 30,22,0.713,0.693,0.432,doi.org/10.1038/s41467-022-31839-7
3,60 to 79,31 to 60 days,45.5,0.572,0.557,0.586,doi.org/10.1038/s41467-022-31839-7
3,60 to 79,61 to 90 days,75.5,0.403,0.386,0.419,doi.org/10.1038/s41467-022-31839-7
3,60 to 79,91 to 120 days,105.5,0.32,0.301,0.339,doi.org/10.1038/s41467-022-31839-7
3,60 to 79,120+,165.5,0.257,0.231,0.282,doi.org/10.1038/s41467-022-31839-7
3,80 to 110,14 to 30,22,0.677,0.607,0.734,doi.org/10.1038/s41467-022-31839-7
3,80 to 110,31 to 60 days,45.5,0.605,0.563,0.643,doi.org/10.1038/s41467-022-31839-7
3,80 to 110,61 to 90 days,75.5,0.515,0.479,0.549,doi.org/10.1038/s41467-022-31839-7
3,80 to 110,91 to 120 days,105.5,0.347,0.306,0.384,doi.org/10.1038/s41467-022-31839-7
3,80 to 110,120+,165.5,0.304,0.26,0.344,doi.org/10.1038/s41467-022-31839-7
